epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.94965,2.33612,6.17067,1.94867,0.27324,0.03776,0.01072,0.00401,2.22435,7.01531,2.04214,0.00014443,0.00014443,0.00014443
2,11.3868,1.92547,3.42,1.63168,0.68045,0.13394,0.12722,0.03969,2.0303,4.45189,2.19483,0.000299952,0.000299952,0.000299952
3,15.6952,1.85634,2.45493,1.50244,0.72436,0.10233,0.1129,0.05375,1.78664,3.52687,1.75769,0.000455399,0.000455399,0.000455399
4,19.69,1.7957,1.99156,1.45898,0.70921,0.20908,0.14049,0.05992,1.96213,3.07487,1.97797,0.000610714,0.000610714,0.000610714
5,24.0413,1.77369,1.92452,1.46542,0.71235,0.11146,0.10622,0.06693,1.98411,2.71006,1.94975,0.000765841,0.000765841,0.000765841
6,28.035,1.71709,1.71412,1.42353,0.38253,0.11166,0.07189,0.04124,1.97211,2.78096,2.0224,0.000920723,0.000920723,0.000920723
7,31.772,1.78991,1.80205,1.53969,0.03738,0.18788,0.08523,0.05327,2.08461,3.22895,2.26178,0.0010753,0.0010753,0.0010753
8,35.5541,1.82139,1.56117,1.47306,0.67992,0.11538,0.13732,0.07443,2.12406,3.00245,2.29374,0.00110768,0.00110768,0.00110768
9,39.46,1.90047,1.64669,1.50872,0.47762,0.181,0.1946,0.09188,2.08585,3.24733,2.23628,0.00110666,0.00110666,0.00110666
10,43.3506,1.80317,1.4883,1.48002,0.69291,0.12542,0.15115,0.04718,2.05568,3.35029,2.26903,0.00110551,0.00110551,0.00110551
11,47.0447,1.73991,1.44264,1.47355,0.58338,0.10597,0.07213,0.02173,2.10428,3.3489,2.37185,0.00110423,0.00110423,0.00110423
12,50.7682,1.7485,1.32466,1.44031,0.47122,0.18204,0.19685,0.05576,2.11839,2.62838,2.33125,0.00110281,0.00110281,0.00110281
13,54.4838,1.767,1.28769,1.43812,0.55337,0.20834,0.23066,0.07512,2.10915,2.74778,2.31192,0.00110126,0.00110126,0.00110126
14,58.1881,1.80353,1.40635,1.49642,0.6238,0.11578,0.10569,0.05477,2.13614,2.9224,2.24489,0.00109957,0.00109957,0.00109957
15,61.8737,1.71542,1.34278,1.4389,0.69856,0.12105,0.12466,0.07626,2.18097,2.98406,2.2809,0.00109776,0.00109776,0.00109776
16,65.8214,1.69289,1.29992,1.43218,0.08234,0.12755,0.04589,0.0223,2.18005,2.73065,2.22292,0.0010958,0.0010958,0.0010958
17,69.5883,1.70473,1.27996,1.40164,0.16711,0.1533,0.11798,0.05814,2.06981,2.60275,1.98901,0.00109372,0.00109372,0.00109372
18,73.2711,1.68357,1.31865,1.43429,0.87293,0.12296,0.20202,0.09524,1.99235,2.52435,1.97042,0.00109151,0.00109151,0.00109151
19,77.1244,1.64951,1.27211,1.39783,0.4751,0.21554,0.20119,0.10166,1.82946,2.5797,1.85244,0.00108916,0.00108916,0.00108916
20,80.9814,1.63371,1.14164,1.36954,0.80561,0.20863,0.241,0.13763,1.87913,2.45412,1.83912,0.00108669,0.00108669,0.00108669
21,84.8476,1.62914,1.1316,1.39313,0.7124,0.21695,0.25444,0.1387,1.89662,3.16511,1.90142,0.00108408,0.00108408,0.00108408
22,88.7266,1.63749,1.11541,1.37004,0.78213,0.21682,0.25906,0.147,1.82802,2.54636,1.78921,0.00108135,0.00108135,0.00108135
23,92.5474,1.59527,1.05179,1.34975,0.76822,0.24146,0.24996,0.14158,1.81267,2.28346,1.72098,0.00107849,0.00107849,0.00107849
24,96.2277,1.5962,1.05574,1.34911,0.44193,0.21242,0.19804,0.09672,1.94788,2.62291,1.81922,0.0010755,0.0010755,0.0010755
